MainCategory,SubCategory1,SubCategory2,category,menu_order,Model,SKU:sku,Price: regular_price,post_title,post_content,Images/Gallery,Spec Sheet Link,Spec Sheet Link Text,product_type,product_visibility,Inventory: stock,Wattage (W),Voltage (V),Lumens (lm),Efficiency,L70 Rated Life (Hrs),Bulb Equivalent,Base,Colour Temperature,Beam Angle,CRI,Dimmable,Operating Temperature,Environmental Rating,Certifications,2-HR Fire Rating Compliance,Nominal Length,Length (mm),Length (inches),Length,Width (mm),Width (inches),Height,Height (mm),Height (inches),Diameter (mm),Diameter (inches),Diameter,Weight (g),Weight (lbs),Inside Diameter,Outside Diameter,Shape,Warranty,Inner Carton Qty,Outer Carton Qty,Box Length (cm),Box Width (cm),Box Height (cm),Box CBM,Box CFT,Carton Weight (lbs),Carton Length (inches),Carton Width (inches),Carton Height (inches),Carton CFT,CARTON CBM,Driver Dimensions (mm),DriverDimensions (Inches),Hole Size Cutout,Dimmer Compatibility,Finish,Direct Replacement For,Use,Surge Protection,Diffuser Type,Diffuser Material,Optional Accessory,Mounting,Flange Dimensions,Recess Dimensions,Rib-reinforced,PIR Sensor,Auto Shut-off,Waterproofing,LED Quantity,LED Type,Input Voltage (VAC),Current Draw,Output Voltage (VDC),Dimensions (without tabs),Maximum Linkable Length,Classification Type
Bulbs,A-Type,A15 Frosted 30K,Bulbs>A-Type>A15 Frosted 30K,5,LED 4.5W A15-FR 30K - 940,940,,LED 4.5W A15-FR 30K - 940,LED 4.5W A15-FR 30K - 940,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2017/02/CNA-LED4.5WA15-FR-27K-500x500.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/04/1171-CNA-LED5.5WA19-R-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,12W,120VAC,900 lm,75 lm/W,"50,000 Hrs.",  ,Hardwire,5CCT - 2700K / 3000K / 3500K  / 4000K / 5000K,30°,? 80,Yes,-20°C to 45°C,"Wet Location, Type IC",cETLus,,  ,  ,  ,  ,,,  ,36 mm,"1.38""",125 mm,"4-7/8""","125 mm (4.88"")",470,1.04,,,  ,5 Years,20,20,,,,0,0,  ,,,,0,0,,,"4"" Diameter",,Black,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A15 30K,Bulbs>A-Type>A15 30K,6,LED6WA15NDS-30K,1117,,LED6WA15NDS-30K,LED6WA15NDS-30K,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2023/05/1117-CNA-LED6WA15NDS-30K-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2023/05/1117-CNA-LED6WA15NDS-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,12W,120VAC,900 lm,75 lm/W,"50,000 Hrs.",  ,Hardwire,5CCT - 2700K / 3000K / 3500K  / 4000K / 5000K,30°,? 80,Yes,-20°C to 45°C,"Wet Location, Type IC",cETLus,,  ,  ,  ,  ,,,  ,36 mm,"1.38""",125 mm,"4-7/8""","125 mm (4.88"")",470,1.04,,,  ,5 Years,20,20,,,,0,0,  ,,,,0,0,,,"4"" Diameter",,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - Curved Filament 30K,Bulbs>A-Type>A19 - Curved Filament 30K,10,LED 5.5W A19-R 30K - 1171,1171,,LED 5.5W A19-R 30K - 1171,LED 5.5W A19-R 30K (Curved Filament) - 1171,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/04/1171-LED-5.5W-A19-R-30K-600x600-2.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/04/1171-CNA-LED5.5WA19-R-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,12W,120VAC,  ,  ,"50,000 Hrs.",  ,Hardwire,3000K,40°,? 90,Yes,-20°C to 40°C,  ,  ,,  ,  ,  ,  ,,,  ,,,110.0 mm,"4-11/32""","4-11/32"" / 11 cm",630,1.39,,,  ,  ,  ,  ,,,,0,0,  ,,,,0,0,,,  ,,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - White Filament 30K,Bulbs>A-Type>A19 - White Filament 30K,11,LED 6.5W A19-WH 30K - 1196,1196,,LED 6.5W A19-WH 30K - 1196,LED 6.5W A19-WH 30K (White Filament)- 1196,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/01/1196-CNA-LED6.5WA19-WH-30K-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2026/01/1196-CNA-LED6.5WA19-WH-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,12W,120VAC,  ,  ,"50,000 Hrs.",  ,Hardwire,3CCT - 3000K / 4000K / 5000K,40°,? 90,Yes,-20°C to 40°C,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,  ,  ,630,,,,  ,  ,18,18,,,,0,0,  ,,,,0,0,,,  ,  ,Black,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - X-Filament 27K,Bulbs>A-Type>A19 - X-Filament 27K,15,LED 7.6W A19-X 27K - 1175,1175,,LED 7.6W A19-X 27K - 1175,LED 7.6W A19-X 27K (X-Filament) - 1175,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/05/1170-1173-1174-1175-LED-7.6W-A19-X-xxK-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/09/1170-1173-1174-1175-CNA-LED7.6WA19-X-xxK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,12W,120VAC,  ,  ,"50,000 Hrs.",  ,Hardwpre,3CCT - 3000K / 4000K / 5000K,40°,? 90,Yes,-20°C to 40°C,"Wet Location, Type IC",cETLus,,  ,  ,  ,  ,,,  ,,,110.0 mm,"4-11/32""","4-11/32"" / 11 cm",630,1.39,,,  ,5 Years,18,18,,,,0,0,  ,,,,0,0,,,"3-3/4"" Diameter",,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - X-Filament 30K,Bulbs>A-Type>A19 - X-Filament 30K,16,LED 7.6W A19-X 30K - 1170,1170,,LED 7.6W A19-X 30K - 1170,LED 7.6W A19-X 30K (X-Filament) - 1170,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/05/1170-1173-1174-1175-LED-7.6W-A19-X-xxK-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/09/1170-1173-1174-1175-CNA-LED7.6WA19-X-xxK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,12W,120VAC,  ,  ,"50,000 Hrs.",  ,Hardwire,5CCT - 2700K / 3000K / 3500K / 4000K / 5000K,40°,90,Yes,-20°C to 40°C,  ,  ,,  ,  ,  ,  ,,,  ,,,111.0 mm,"4-3/8""","4-3/8"" / 11.1 cm",630,1.39,,,  ,5 Years,  ,  ,,,,0,0,  ,,,,0,0,,,  ,,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - X-Filament 40K,Bulbs>A-Type>A19 - X-Filament 40K,17,LED 7.6W A19-X 40K - 1173,1173,,LED 7.6W A19-X 40K - 1173,LED 7.6W A19-X 40K (X-Filament) - 1173,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/05/1170-1173-1174-1175-LED-7.6W-A19-X-xxK-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/09/1170-1173-1174-1175-CNA-LED7.6WA19-X-xxK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,7W,120VAC,650 lm,92.9 lm/W,"50,000 Hrs",  ,Hardwire,5CCT - 2700K / 3000K / 3500K / 4000K / 5000K,120°,? 80,Yes - TRIAC,-20°C to 40°C,"Damp Location, Type IC Rated",cETLus,,  ,  ,  ,  ,,,"1-1/2""",37 mm,"1-1/2""",128 mm,"5-3/64""","128 mm (5-3/64"")",35,0.08,,,  ,5 Years,40,40,,,,0,0,  ,,,,0,0,,,  ,Yes - TRIAC,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 - X-Filament 50K,Bulbs>A-Type>A19 - X-Filament 50K,18,LED 7.6W A19-X 50K- 1174,1174,,LED 7.6W A19-X 50K- 1174,LED 7.6W A19-X 50K (X-Filament) - 1174,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/05/1170-1173-1174-1175-LED-7.6W-A19-X-xxK-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/09/1170-1173-1174-1175-CNA-LED7.6WA19-X-xxK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,9W,120VAC,850 lm,94.4 lm/W,"50,000 Hrs",,Hardwire,5CCT - 2700K / 3000K / 3500K / 4000K / 5000K,120°,? 80,Yes - TRIAC,-20°C to 40°C,"Damp Location, Type IC Rated",cETLus,,,,,,,,"1-1/2""",37 mm,"1-1/2""",185 mm,"7-5/16""","185 mm (7-5/16"")",,,,,,5 Years,40,40,,,,0,0,,,,,0,0,,,,Yes - TRIAC,White,,,,,,,,,,,,,,,,,,,,,
Bulbs,A-Type,A19 - Milky / Opaque 30K,Bulbs>A-Type>A19 - Milky / Opaque 30K,19,LED 7.6W A19-ML 30K - 1105,1105,,LED 7.6W A19-ML 30K - 1105,LED 7.6W A19-ML 30K - 1105,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/07/1105-CNA-LED7.6WA19-ML-30K-600x600-1.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2025/07/1105-CNA-LED7.6WA19-ML-30K-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,7W / 10W / 17W,120VAC - 347VAC,700 lm / 1000 lm / 1500 lm,83.3 - 100,"50,000 Hrs",  ,Hardwire,3CCT - 3000K / 3500K / 4000K,90°,? 90,Yes 0-10V Dimming - down to 5%,-30°C to 40°C,"Wet Location, Type IC Rated",cuL Classified,,  ,  ,  ,  ,,,"159 mm (6-1/4"")",159 mm,"6-1/4""",210 mm,"8-1/4""","210 mm (8-1/4"")",267,0.59,,,  ,5 Years,4,4,,,,0,0,  ,,,,0,0,,,  ,Yes - 0-10V - down to 5%,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bulbs,A-Type,A19 5-Pack 30K,Bulbs>A-Type>A19 5-Pack 30K,25,LED9WA19NDS-30K-5pk - 959,959,,LED9WA19NDS-30K-5pk - 959,LED9WA19NDS-30K-5pk - 959,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/02/CNA-LED9WA19NDS-5PK-500X500.png,https://6dywl8dmjehpqrx0.public.blob.vercel-storage.com/2018/10/CNA-LED9WA19NDS-XXK-5PK-Spec-Sheet.pdf,Spec Sheet Link,simple,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,  ,,,  ,,,  ,,,246,0.54,"6.25""","10.5""",  ,  ,1,1,,,,0,0,  ,,,,0,0,,,  ,  ,White,  ,  ,,  ,  ,  ,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
